State	 Location 	Latitude 	Longitude	PIN code		
Bihar	 Dumraon 	25.55	84.20			
Bihar	 Gandak R. 	26.50	84.50			
Bihar	 Gaya 	24.78	85.02	804403		
Bihar	 Gogri 	25.47	86.63	851102		
Bihar	 Gopalganj 	26.47	84.43	841405		
Bihar	 Hajipur 	25.68	85.95	144221		
Bihar	 Jamalpur 	25.32	85.53	811214		
Bihar	 Jyanagar 	26.58	86.15			
Bihar	 Kantai 	26.52	85.35			
Bihar	 Kathihar 	25.50	87.67			
Bihar	 Kishanganj 	26.17	87.03	811301		
Bihar	 Mankheri 	23.67	84.55			
Bihar	 Mokameh 	25.40	85.92			
Bihar	 Motihari 	26.67	85.23	845120		
Bihar	 Munger 	25.38	86.50	811102		
Bihar	 Muzaffarpur 	26.12	85.45	835221		
Bihar	 Nawada 	24.88	85.58	805101		
Bihar	 Naya Dumka 	24.50	87.33			
Bihar	 Patna 	25.62	85.22	800001		
Bihar	 Purnia 	25.82	87.52	853206		
Bihar	 Safanda 	22.27	85.25			
Bihar	 Sagaull 	26.78	84.80			
Bihar	 Saharsa 	25.92	86.58	847451		
Bihar	 Samastipur 	25.92	85.08	848101		
Bihar	 Sasaram 	24.95	84.05	821115		
Bihar	 Shelkhupura 	25.15	85.88			
Bihar	 Tekari 	24.95	84.88	824236		
Chandigarh	 Chandigarh 	30.74	76.23	160001		
Chattisgarh	 Ambikapur 	23.17	83.25	497001		
Chattisgarh	" Bastar, district "	19.17	81.50			
Chattisgarh	 Bhopalpatnam 	18.83	80.40	494446		
Chattisgarh	 Bilaspur 	22.08	82.22	135102		
Chattisgarh	 Chalgali 	23.13	83.70			
Chattisgarh	 Champa 	22.03	82.72	495671		
Chattisgarh	 Chintalnar 	18.33	81.30			
Chattisgarh	 Dhamtari 	20.70	81.57	493773		
Chattisgarh	 Dharmjaygarh (Rabkob) 	22.13	83.25			
Chattisgarh	 Dongargarh 	21.03	80.83	491445		
Chattisgarh	 Durg (Drug) 	21.02	81.35			
Chattisgarh	 Indravati R. 	19.05	81.00			
Chattisgarh	 Jagdalpur 	19.08	82.07	494001		
Chattisgarh	 Jashpurnagar 	22.88	84.20			
Chattisgarh	 Kanker 	20.08	81.53	494224		
Chattisgarh	 Kawardha 	22.00	81.28	491995		
Chattisgarh	 Khairagarh 	21.43	81.03	491881		
Chattisgarh	 Kutru 	19.05	80.88			
Chattisgarh	 Makri 	19.75	81.97			
Chattisgarh	 Mmahendragarh 	23.02	82.35			
Chattisgarh	 Pandaria 	22.25	81.45	495337		
Chattisgarh	 Parlakot 	19.75	80.80			
Chattisgarh	 Partabpur 	19.98	80.08	141305		
Chattisgarh	 Pathri 	19.03	76.05	431506		
Chattisgarh	 Phuljhar 	21.23	82.90			
Chattisgarh	 Raipur 	21.08	81.68	248008		
Chattisgarh	 Raj Nandgaon 	21.08	81.08			
Chattisgarh	 Rajim 	20.98	81.92	493885		
Chattisgarh	 Ramkola 	23.07	83.13	274305		
Chattisgarh	 Sakti 	22.02	83.00	495689		
Delhi	 Shahdara 	28.07	77.03	110032		
Goa	 Marmagao 	15.42	73.72			
Goa	 Panaji (Nova Goa) 	15.05	73.92			
Gujrat	 Ahmadabad 	23.05	72.67			
Gujrat	 Amreli 	21.60	71.25	364431		
Gujrat	 Anand 	22.53	73.00	370465		
Gujrat	 Anklesvar 	21.63	73.03			
Gujrat	 Bansda 	20.75	73.47			
Gujrat	 Baroda 	25.42	77.17	124304		
Gujrat	 Bedi 	22.53	70.03			
Gujrat	 Bela I. 	23.80	70.83			
Gujrat	 Bharuch 	21.68	73.02	391170		
Gujrat	 Bhavnagar 	21.77	72.18	364001		
Gujrat	 Bhuj 	23.25	69.82	370001		
Gujrat	 Bulsar 	20.60	72.98			
Gujrat	 Chota Udaipur 	22.30	74.13			
Gujrat	 Dabhoi 	22.18	73.42	384328		
Gujrat	 Dahej 	21.70	72.63	392130		
Gujrat	 Datha 	21.20	72.00	364130		
Gujrat	 Dedan 	21.00	71.37	364550		
Gujrat	 Dhandhuka 	22.35	72.03	382460		
Gujrat	 Dharampur 	20.53	73.22	396050		
Gujrat	 Dholera 	22.25	72.25	382455		
Gujrat	 Dholka 	22.73	72.48	387810		
Gujrat	 Dhoraji 	21.75	70.62			
Gujrat	 Dhrangadhra 	22.98	71.52	363310		
Gujrat	 Disa 	24.23	72.22	385535		
Gujrat	 Dohad 	22.88	74.32	360540		
Gujrat	 Dwarka 	22.23	69.02	361335		
Gujrat	 Ghantila 	23.17	71.17			
Gujrat	 Gir Forest 	21.00	71.00			
Gujrat	 Godhra 	22.75	73.67	389001		
Gujrat	 Gondal 	21.92	70.87	360311		
Gujrat	 Himadnagar 	23.70	73.03			
Gujrat	 Idar 	23.83	73.03	383430		
Gujrat	 Jafarabad 	20.87	71.42			
Gujrat	 Jakhau 	23.23	68.75	370640		
Gujrat	 Jamnagar 	22.45	70.12	360405		
Gujrat	 Jasdan 	22.07	72.52	360050		
Gujrat	 Junagadh 	21.52	70.60	360560		
Gujrat	" Kachchh, Gt. Rann of "	24.00	70.00			
Gujrat	" Kachchh, Gulf of "	22.58	69.67			
Gujrat	" Kachchh, Little Rann of "	23.43	71.33			
Gujrat	 Kadi 	23.30	72.38	382715		
Gujrat	 Kalol 	23.25	72.55	382721		
Gujrat	 Kandia 	23.00	70.17			
Gujrat	 Kathiawar Peninsula 	22.00	71.00			
Gujrat	 Khadir I. 	23.83	70.70			
Gujrat	" Khambhat, Gulf of "	21.00	72.50			
Gujrat	 Kharaghoda 	23.20	72.25	382760		
Gujrat	 Kheda 	22.75	72.75	387411		
Gujrat	 Khedrahma 	24.05	73.07			
Gujrat	 Kheralu 	23.90	72.67	384325		
Gujrat	 Khmbhat 	22.32	72.63			
Gujrat	 Lakhpat 	23.82	68.80	370630		
Gujrat	 Lakhtar 	22.87	71.85	382775		
Gujrat	 Limbdi 	22.57	71.88	363421		
Gujrat	 Lunavada 	22.13	73.62			
Gujrat	 Magori 	23.30	73.40			
Gujrat	 Mahesana 	23.70	72.62	382655		
Gujrat	 Mahi R. 	22.33	73.08			
Gujrat	 Mahuva 	21.17	71.75	364290		
Gujrat	 Malia 	23.15	71.37			
Gujrat	 Mandvi 	22.85	68.53	370465		
Gujrat	 Mangral 	21.13	70.23			
Gujrat	 Mehmadabad 	22.83	72.80	380050		
Gujrat	 Modasa 	23.47	73.35	383315		
Gujrat	 Morbi 	22.82	70.90	363641		
Gujrat	 Mundra 	22.82	69.87	370421		
Gujrat	 Naenwa 	22.68	72.92			
Gujrat	 Nandod 	21.90	73.57			
Gujrat	 Navanagar(Jamnagar) 	22.45	70.12			
Gujrat	 Navsari 	21.12	73.67	363334		
Gujrat	 Pachham 	23.93	69.08			
Gujrat	 Padra 	22.25	73.12	391440		
Gujrat	 Palanpur 	24.20	72.47	385001		
Gujrat	 Palitana 	21.52	71.88	364270		
Gujrat	 Parantij 	23.43	72.92			
Gujrat	 Patan 	23.87	72.02	364292		
Gujrat	 Patan Patan (somnath) 	21.07	70.43			
Gujrat	 Petlad 	22.48	72.08	388450		
Gujrat	 Porbandar 	21.62	69.82	360550		
Gujrat	 Port Okha 	22.25	69.02			
Gujrat	 Radhanpur 	23.08	71.63	385340		
Gujrat	 Rajkot 	22.30	70.93	360001		
Gujrat	 Rapar 	23.53	70.07			
Gujrat	 Sachin 	21.08	72.98	394230		
Gujrat	 Sadra 	23.03	73.78	382320		
Gujrat	 Saradiya 	21.58	70.08			
Gujrat	 Satpura Range 	21.07	75.00			
Gujrat	 Sidhpur 	23.75	72.62	384151		
Gujrat	 Tapi R. 	21.33	74.50			
Gujrat	 Taranga Hill 	24.05	72.73			
Gujrat	 Tharad 	24.38	71.62	385565		
Gujrat	 Vadodara 	22.00	73.27	390001		
Gujrat	 Vankaner 	22.55	71.00			
Gujrat	 Veraval 	20.88	73.43	362265		
Gujrat	 Viramgam 	23.13	72.12	382150		
Gujrat	 Visavadar 	21.37	70.87	362130		
Gujrat	 Wadhwan (Surendranagar) 	22.72	71.72			
Haryana	 Ambala 	30.35	76.87	133001		
Haryana	 Bhiwani 	28.77	76.30	123020		
Haryana	 Ellenabad 	29.43	74.90	125102		
Haryana	 Faridabad 	28.42	77.37	121001		
Haryana	 Fatehabad 	29.52	75.50	125050		
Haryana	 Firozpur Jhirka 	27.78	76.98			
Haryana	 Gurgaon 	28.62	77.07	122001		
Haryana	 Hansi 	29.10	76.00	125033		
Haryana	 Hisar 	29.17	75.77			
Haryana	 Jind 	29.32	76.38	126102		
Haryana	 Kaithal 	29.80	78.43	126134		
Haryana	 Karnal 	29.70	77.03	132001		
Haryana	 Ladwa 	29.98	77.08	125087		
Haryana	 Loharu 	28.27	75.75	123201		
Haryana	 Narnaul 	28.03	76.23	123001		
Haryana	 Pataudi 	28.30	76.80	123503		
Haryana	 Pehowa 	29.95	76.62	132128		
Haryana	 Rania 	29.47	74.90	125076		
Haryana	 Rewari 	28.20	76.07	123302		
Haryana	 Rohtak 	28.90	76.63	124001		
Haryana	 Rori 	29.73	75.28	125202		
Haryana	 Shahabad 	30.02	76.92	241124		
Haryana	 Thanesar 	29.97	76.93			
Meghalaya	 Garo Hills (Tura) 	25.50	90.50			
Meghalaya	 Khasi and Jaintia Hills 	25.50	91.50			
Meghalaya	 Tura 	25.50	90.27	794001		
Mizoram	 Aizawl 	23.60	93.00	796001		
Nagaland	" Japvo, Mt. "	25.53	94.17			
Nagaland	 Kohima 	25.67	94.13	797001		
Nagaland	 Naga Hills 	26.00	94.33			
Orissa	 Athgarh 	20.53	85.68	754029		
Orissa	 Athmallik 	20.92	84.50	759125		
Orissa	 Baleshwar 	21.50	86.90	756001		
Orissa	 Banki 	20.35	85.55	225001		
Orissa	 Baramba 	20.42	85.38			
Orissa	 Baripada 	21.93	86.77	757001		
Orissa	 Baudh 	20.83	84.87	760004		
Orissa	 Berhampur 	19.30	84.85	760001		
Orissa	 Bhadrakh 	21.05	86.55			
Orissa	 Bhawani Patna 	19.97	83.20			
Orissa	 Bhuban 	21.08	85.87	759017		
Orissa	 Bhubaneshwar 	20.25	85.87			
Orissa	 Black Pagoda (Konarak) 	19.88	86.13			
Orissa	 Bolangir 	20.67	83.50	767001		
Orissa	 Bonaigarh 	21.82	85.00			
Orissa	 Borasambar 	20.97	83.00			
Orissa	 Chatrapur 	19.35	85.05	760001		
Orissa	 Chilka Lake 	19.83	85.50			
Orissa	 Cuttack 	20.47	85.90	753001		
Orissa	 Daspalla 	20.32	84.93	752084		
Orissa	 Daspur 	21.97	86.12			
